context,inner_fold,candidate,score_mean_standardized_publication_balanced_MAE,best_iteration,train_records,validation_records,train_DOI,validation_DOI,encoded_features,fit_seconds,candidate_mean_score,selected_candidate,selected_final_iterations
chronological_train_through_2018,1,depth6_lr0.05_l2-10,0.5633643079928522,696,12029,12030,2316,2317,659,7.083044295999571,0.5714106808998176,depth6_lr0.10_l2-20,446
chronological_train_through_2018,1,depth8_lr0.04_l2-10,0.5622890050449594,700,12029,12030,2316,2317,659,20.670594142997288,0.5705640755432413,depth6_lr0.10_l2-20,446
chronological_train_through_2018,1,depth6_lr0.10_l2-20,0.5615982413754984,446,12029,12030,2316,2317,659,4.475010548998398,0.570417619383003,depth6_lr0.10_l2-20,446
chronological_train_through_2018,2,depth6_lr0.05_l2-10,0.5794570538067829,699,12030,12029,2317,2316,657,7.102819808002096,0.5714106808998176,depth6_lr0.10_l2-20,446
chronological_train_through_2018,2,depth8_lr0.04_l2-10,0.5788391460415233,700,12030,12029,2317,2316,657,19.643561519002105,0.5705640755432413,depth6_lr0.10_l2-20,446
chronological_train_through_2018,2,depth6_lr0.10_l2-20,0.5792369973905075,447,12030,12029,2317,2316,657,4.415135641000234,0.570417619383003,depth6_lr0.10_l2-20,446
rolling_train_before_2016,1,depth6_lr0.05_l2-10,0.6930555459763545,449,2274,2274,470,469,278,2.5445697420000215,0.6692550579575338,depth6_lr0.05_l2-10,347
rolling_train_before_2016,1,depth8_lr0.04_l2-10,0.6967004034877264,387,2274,2274,470,469,278,6.551274076999107,0.6720878287489437,depth6_lr0.05_l2-10,347
rolling_train_before_2016,1,depth6_lr0.10_l2-20,0.6987525058823174,248,2274,2274,470,469,278,1.4698617729991383,0.673813006641643,depth6_lr0.05_l2-10,347
rolling_train_before_2016,2,depth6_lr0.05_l2-10,0.645454569938713,246,2274,2274,469,470,296,1.498358743996505,0.6692550579575338,depth6_lr0.05_l2-10,347
rolling_train_before_2016,2,depth8_lr0.04_l2-10,0.6474752540101609,272,2274,2274,469,470,296,4.808851572001004,0.6720878287489437,depth6_lr0.05_l2-10,347
rolling_train_before_2016,2,depth6_lr0.10_l2-20,0.6488735074009687,152,2274,2274,469,470,296,1.0870365890004905,0.673813006641643,depth6_lr0.05_l2-10,347
rolling_train_before_2017,1,depth6_lr0.05_l2-10,0.6174791548374401,288,4759,4760,957,956,401,2.3556458560015017,0.623325252038754,depth8_lr0.04_l2-10,530
rolling_train_before_2017,1,depth8_lr0.04_l2-10,0.6144680269515946,455,4759,4760,957,956,401,9.887913766000565,0.620361849948469,depth8_lr0.04_l2-10,530
rolling_train_before_2017,1,depth6_lr0.10_l2-20,0.6165324449541932,194,4759,4760,957,956,401,1.6708238830033224,0.6243510780584419,depth8_lr0.04_l2-10,530
rolling_train_before_2017,2,depth6_lr0.05_l2-10,0.6291713492400678,537,4760,4759,956,957,395,3.8563433669987717,0.623325252038754,depth8_lr0.04_l2-10,530
rolling_train_before_2017,2,depth8_lr0.04_l2-10,0.6262556729453433,606,4760,4759,956,957,395,12.823604577999504,0.620361849948469,depth8_lr0.04_l2-10,530
rolling_train_before_2017,2,depth6_lr0.10_l2-20,0.6321697111626906,295,4760,4759,956,957,395,2.3551419469986286,0.6243510780584419,depth8_lr0.04_l2-10,530
rolling_train_before_2018,1,depth6_lr0.05_l2-10,0.5955854606281985,671,7953,7954,1566,1567,538,5.536601093997888,0.599073113392444,depth8_lr0.04_l2-10,697
rolling_train_before_2018,1,depth8_lr0.04_l2-10,0.5945676478164235,699,7953,7954,1566,1567,538,16.00098945100035,0.5974242783079915,depth8_lr0.04_l2-10,697
rolling_train_before_2018,1,depth6_lr0.10_l2-20,0.5953867777717023,379,7953,7954,1566,1567,538,3.5064162999988184,0.5996849355373729,depth8_lr0.04_l2-10,697
rolling_train_before_2018,2,depth6_lr0.05_l2-10,0.6025607661566894,671,7954,7953,1567,1566,505,5.706179395001527,0.599073113392444,depth8_lr0.04_l2-10,697
rolling_train_before_2018,2,depth8_lr0.04_l2-10,0.6002809087995596,695,7954,7953,1567,1566,505,16.368030280998937,0.5974242783079915,depth8_lr0.04_l2-10,697
rolling_train_before_2018,2,depth6_lr0.10_l2-20,0.6039830933030435,345,7954,7953,1567,1566,505,3.3044429719993786,0.5996849355373729,depth8_lr0.04_l2-10,697
