domain,target,candidate,mean_DOI_MAE,SE_DOI_MAE,n_DOI,minimum_mean_plus_one_SE,within_one_SE,selected
Sn-only,PCE,Identity,1.9243965635903937,0.17295583879842003,83,2.0973524023888137,True,True
Sn-only,PCE,Bias-only,1.9700010701139476,0.17642304397480926,83,2.0973524023888137,True,False
Sn-only,PCE,Affine ridge=10,1.930567245501637,0.17371253204449263,83,2.0973524023888137,True,False
Sn-only,PCE,Affine ridge=1,1.9603565567227648,0.1773279456329864,83,2.0973524023888137,True,False
Sn-only,PCE,Affine ridge=0.1,1.9925251167697184,0.18129852494418103,83,2.0973524023888137,True,False
Sn-only,PCE,Affine ridge=0.01,1.999171045106629,0.18211418270094973,83,2.0973524023888137,True,False
Sn-only,PCE,Affine ridge=0.001,1.9999013669018937,0.18220497378519374,83,2.0973524023888137,True,False
Sn-only,PCE,Affine ridge=0,1.9999833252366954,0.182215176805086,83,2.0973524023888137,True,False
Sn-only,Voc,Identity,0.13299713706186325,0.010282623140595287,83,0.14327976020245853,True,True
Sn-only,Voc,Bias-only,0.1347874648162885,0.0102784931790766,83,0.14327976020245853,True,False
Sn-only,Voc,Affine ridge=10,0.13344143076213283,0.010314944981801431,83,0.14327976020245853,True,False
Sn-only,Voc,Affine ridge=1,0.13556959179229486,0.010469259774063962,83,0.14327976020245853,True,False
Sn-only,Voc,Affine ridge=0.1,0.13788059572203737,0.01064572413007615,83,0.14327976020245853,True,False
Sn-only,Voc,Affine ridge=0.01,0.13840436495333733,0.010674896083587715,83,0.14327976020245853,True,False
Sn-only,Voc,Affine ridge=0.001,0.13846215085359923,0.010678170436340553,83,0.14327976020245853,True,False
Sn-only,Voc,Affine ridge=0,0.13846863571573975,0.010678538887053349,83,0.14327976020245853,True,False
Sn-only,Jsc,Identity,5.3727853058354125,0.33960494311580824,83,5.712390248951221,True,True
Sn-only,Jsc,Bias-only,5.447591612029317,0.3550343243621925,83,5.712390248951221,True,False
Sn-only,Jsc,Affine ridge=10,5.3849354693611104,0.3406888647963031,83,5.712390248951221,True,False
Sn-only,Jsc,Affine ridge=1,5.439927880197033,0.34656625802635127,83,5.712390248951221,True,False
Sn-only,Jsc,Affine ridge=0.1,5.4962567995698315,0.35394037646641735,83,5.712390248951221,True,False
Sn-only,Jsc,Affine ridge=0.01,5.507496236518507,0.35557740375031305,83,5.712390248951221,True,False
Sn-only,Jsc,Affine ridge=0.001,5.508731339479899,0.35576090919607517,83,5.712390248951221,True,False
Sn-only,Jsc,Affine ridge=0,5.508869945478899,0.35578154699326764,83,5.712390248951221,True,False
Sn-only,FF,Identity,10.504691119450653,0.677427809456715,83,11.182118928907368,True,True
Sn-only,FF,Bias-only,10.654565662847682,0.6975897304528432,83,11.182118928907368,True,False
Sn-only,FF,Affine ridge=10,10.520559668590451,0.6785650384688872,83,11.182118928907368,True,False
Sn-only,FF,Affine ridge=1,10.595008990616115,0.6850311330587695,83,11.182118928907368,True,False
Sn-only,FF,Affine ridge=0.1,10.67697320861259,0.6939192978424779,83,11.182118928907368,True,False
Sn-only,FF,Affine ridge=0.01,10.693433830015417,0.6959889796614247,83,11.182118928907368,True,False
Sn-only,FF,Affine ridge=0.001,10.695290684336431,0.6962173411249611,83,11.182118928907368,True,False
Sn-only,FF,Affine ridge=0,10.695499064654676,0.6962430474414336,83,11.182118928907368,True,False
Mixed Pb-Sn,PCE,Identity,2.775642005088757,0.23072670153856886,57,2.960228063631158,True,True
Mixed Pb-Sn,PCE,Bias-only,2.7650568732187213,0.22840710391327745,57,2.960228063631158,True,False
Mixed Pb-Sn,PCE,Affine ridge=10,2.7681633186832544,0.231085590426975,57,2.960228063631158,True,False
Mixed Pb-Sn,PCE,Affine ridge=1,2.737243088931754,0.2341323658485802,57,2.960228063631158,True,False
Mixed Pb-Sn,PCE,Affine ridge=0.1,2.7226045727413495,0.2376234908898087,57,2.960228063631158,True,False
Mixed Pb-Sn,PCE,Affine ridge=0.01,2.72535636939248,0.23782173517572028,57,2.960228063631158,True,False
Mixed Pb-Sn,PCE,Affine ridge=0.001,2.7257626503824053,0.23783243520376457,57,2.960228063631158,True,False
Mixed Pb-Sn,PCE,Affine ridge=0,2.725808244137941,0.2378337195326381,57,2.960228063631158,True,False
Mixed Pb-Sn,Voc,Identity,0.12432451879673681,0.013777485596602874,57,0.13481891305552093,True,True
Mixed Pb-Sn,Voc,Bias-only,0.12500390387348867,0.011989082135464285,57,0.13481891305552093,True,False
Mixed Pb-Sn,Voc,Affine ridge=10,0.12351430797736986,0.013544096805550373,57,0.13481891305552093,True,False
Mixed Pb-Sn,Voc,Affine ridge=1,0.12220335444422417,0.012615558611296767,57,0.13481891305552093,True,False
Mixed Pb-Sn,Voc,Affine ridge=0.1,0.12390615354355282,0.012026043613640486,57,0.13481891305552093,True,False
Mixed Pb-Sn,Voc,Affine ridge=0.01,0.12463871480117926,0.011937515123981725,57,0.13481891305552093,True,False
Mixed Pb-Sn,Voc,Affine ridge=0.001,0.12472142263641041,0.011929047178722547,57,0.13481891305552093,True,False
Mixed Pb-Sn,Voc,Affine ridge=0,0.12473070429347521,0.011928115238383004,57,0.13481891305552093,True,False
Mixed Pb-Sn,Jsc,Identity,3.961194867113727,0.3682987175723076,57,4.141737674935816,True,True
Mixed Pb-Sn,Jsc,Bias-only,3.749554775237946,0.3921828996978696,57,4.141737674935816,True,False
Mixed Pb-Sn,Jsc,Affine ridge=10,3.9401453190745657,0.371268939317396,57,4.141737674935816,True,False
Mixed Pb-Sn,Jsc,Affine ridge=1,3.8584182012992234,0.38516910276084854,57,4.141737674935816,True,False
Mixed Pb-Sn,Jsc,Affine ridge=0.1,3.7947581482743318,0.4002907241236782,57,4.141737674935816,True,False
Mixed Pb-Sn,Jsc,Affine ridge=0.01,3.788331266796848,0.4027889758809083,57,4.141737674935816,True,False
Mixed Pb-Sn,Jsc,Affine ridge=0.001,3.7876575305659395,0.40306899783148276,57,4.141737674935816,True,False
Mixed Pb-Sn,Jsc,Affine ridge=0,3.787581922388915,0.4031005294724162,57,4.141737674935816,True,False
Mixed Pb-Sn,FF,Identity,7.305892613592672,0.8074659614208992,57,8.11335857501357,True,True
Mixed Pb-Sn,FF,Bias-only,7.365414154859596,0.8148701239507324,57,8.11335857501357,True,False
Mixed Pb-Sn,FF,Affine ridge=10,7.3079789229640175,0.8075748377524962,57,8.11335857501357,True,False
Mixed Pb-Sn,FF,Affine ridge=1,7.328937356467828,0.8083691781299331,57,8.11335857501357,True,False
Mixed Pb-Sn,FF,Affine ridge=0.1,7.356350885803287,0.8108130293260944,57,8.11335857501357,True,False
Mixed Pb-Sn,FF,Affine ridge=0.01,7.3631450169906865,0.811367175554644,57,8.11335857501357,True,False
Mixed Pb-Sn,FF,Affine ridge=0.001,7.363893575061169,0.8114328044107484,57,8.11335857501357,True,False
Mixed Pb-Sn,FF,Affine ridge=0,7.3639775799113005,0.8114402298585981,57,8.11335857501357,True,False
