scheme,reference_condition,candidate_condition,target,evaluation_lens,records,DOI_groups,reference_R2,candidate_R2,delta_R2_candidate_minus_reference,reference_MAE,candidate_MAE,MAE_change_percent_candidate_vs_reference,reference_RMSE,candidate_RMSE,RMSE_change_percent_candidate_vs_reference,reference_R2_CI_low,reference_R2_CI_high,candidate_R2_CI_low,candidate_R2_CI_high,delta_R2_candidate_minus_reference_CI_low,delta_R2_candidate_minus_reference_CI_high,reference_MAE_CI_low,reference_MAE_CI_high,candidate_MAE_CI_low,candidate_MAE_CI_high,MAE_change_percent_candidate_vs_reference_CI_low,MAE_change_percent_candidate_vs_reference_CI_high,reference_RMSE_CI_low,reference_RMSE_CI_high,candidate_RMSE_CI_low,candidate_RMSE_CI_high,RMSE_change_percent_candidate_vs_reference_CI_low,RMSE_change_percent_candidate_vs_reference_CI_high
DOI-grouped 5-fold,Random Forest | Full DOI,CatBoost | Full DOI,PCE,Device-level,33175,6368,0.441069133656941,0.45107103236284884,0.010001898705907841,2.950031188931207,2.938920701394512,-0.37662271430833894,3.871519106600232,3.836722905630149,-0.8987738407583157,0.41891173667699516,0.46218179888925154,0.4314274876226856,0.4711520320094089,0.0007642086833083845,0.019847016848466927,2.892424836194569,3.006420361382547,2.882150220847452,2.9898949044969725,-1.4203486925424735,0.6036009337925329,3.7958438889451904,3.9443211885963962,3.7657791529568616,3.904092820885879,-1.7594465404556952,-0.07130246463315391
DOI-grouped 5-fold,Random Forest | Full DOI,CatBoost | Full DOI,PCE,Publication-balanced,33175,6368,0.46554557641316585,0.4731599142172491,0.007614337804083271,2.8983103253447084,2.905867826441193,0.26075541429766425,3.780585426720017,3.753557937933012,-0.714902210540802,0.44741935212762285,0.4830430939821325,0.4561788338566323,0.4875605452074726,-0.0005385869756227512,0.015070482073990405,2.854290275682764,2.9468966832455297,2.864089289768825,2.952862647658058,-0.5727997081694743,1.0694884515666714,3.724834918572239,3.8420243316281217,3.7018110252411476,3.8150270746739987,-1.3944681711949225,0.05204296435927785
DOI-grouped 5-fold,Random Forest | Full DOI,CatBoost | Full DOI,Voc,Device-level,33175,6368,0.48913356357206506,0.5007306789398582,0.011597115367793176,0.08009946161406055,0.07943106486135938,-0.8344584835309754,0.12206240349419528,0.1206689884506786,-1.1415595659501787,0.455817432973031,0.5182558472477384,0.47050792571237976,0.5289215657413672,0.001778412451963843,0.021332454346440557,0.07808928734580085,0.082122110639699,0.07749034818007107,0.08141155687347702,-1.8786589365427457,0.26022059543704207,0.11777702883306382,0.12594546511379406,0.11656773914294372,0.12437109287256669,-2.078792779576493,-0.17635265304376443
DOI-grouped 5-fold,Random Forest | Full DOI,CatBoost | Full DOI,Voc,Publication-balanced,33175,6368,0.5031313854796151,0.5133270973545991,0.010195711874984026,0.08094034790267789,0.08064948843842044,-0.3593504003802539,0.12137633419856435,0.12012456207408212,-1.0313148215816192,0.47697638013328325,0.528745165725146,0.48808354060240344,0.5376381741277663,0.0016696319623046298,0.01976401577178252,0.07916619974975049,0.08273983055355848,0.07887643109009876,0.08241531120506243,-1.216863967811297,0.5698089042551191,0.1181274583079808,0.12482252039962353,0.11667339583668085,0.12353943408620358,-1.975134069137219,-0.17000152598673807
DOI-grouped 5-fold,Random Forest | Full DOI,CatBoost | Full DOI,Jsc,Device-level,33175,6368,0.4430478356591563,0.44978461637561573,0.006736780716459445,2.7491229888714908,2.7261386727165857,-0.8360599452242101,3.983261419686796,3.9590977655250574,-0.6066298848052654,0.4137847488866273,0.47051425881739245,0.42282572125493717,0.4757540236553685,-0.0030479456901247115,0.015961428138680067,2.6882332093311834,2.819387810763362,2.664875398922023,2.7931210775643334,-1.8958266807721917,0.22942646321324864,3.883165180949908,4.098265294077886,3.860531330123142,4.069853556425052,-1.435073006334967,0.2785155072696478
DOI-grouped 5-fold,Random Forest | Full DOI,CatBoost | Full DOI,Jsc,Publication-balanced,33175,6368,0.46396444923353497,0.470365478655533,0.00640102942199805,2.7237552556331988,2.716818496008684,-0.25467631903300925,3.9037887290121214,3.8804103223680984,-0.5988645458776976,0.44052111740285066,0.487518374344076,0.4485282112324672,0.4932507977453988,-0.0016412179551159422,0.014425708155850316,2.673823423469319,2.7771386366282726,2.663187702969648,2.769384203926386,-1.1364607873108294,0.6040154596542567,3.8177368932392226,3.9940015289514723,3.7916145475832295,3.966868422482671,-1.3463141456753285,0.15711851081518846
DOI-grouped 5-fold,Random Forest | Full DOI,CatBoost | Full DOI,FF,Device-level,33175,6368,0.21285387218304386,0.22574441885231566,0.012890546669271807,7.838299391765822,7.795214392752359,-0.5496727907423837,10.789653747744566,10.700941713342838,-0.8221953778662527,0.18868980827923612,0.23395219758247196,0.20330806263629989,0.24429518078268153,0.0019814147978590713,0.02303936097759692,7.683168254538749,8.015514988341144,7.643862944385011,7.961053158610179,-1.409091917732044,0.3428676317557493,10.55137129988423,11.070360305103499,10.464661184945916,10.968620846757396,-1.4688494073658802,-0.126705402791143
DOI-grouped 5-fold,Random Forest | Full DOI,CatBoost | Full DOI,FF,Publication-balanced,33175,6368,0.2361386725151583,0.2545437579389219,0.018405085423763623,7.747506154303877,7.686713647777772,-0.7846719359149379,10.50110191055694,10.373819553122146,-1.2120857269924623,0.21633807824977136,0.25579214371326653,0.23660110786543634,0.2719069868621486,0.008707412217080457,0.02872389613453037,7.620760280412797,7.8736627053188535,7.563001877540545,7.815084699824937,-1.5973644397626856,-0.01684049848702244,10.315127354169245,10.697264543756605,10.188860406912047,10.56031443637992,-1.8619182137555448,-0.5738011296321248
Chronological >2018,Random Forest | Full DOI,CatBoost | Full DOI,PCE,Device-level,9116,1735,0.40439775380689313,0.44521061661837125,0.04081286281147811,3.1541720274669647,3.023928589163111,-4.129243337702448,4.038182859207982,3.8973722483443125,-3.4869795591992325,0.3469550095056403,0.4545222719167151,0.3947617985156906,0.4914259943311094,0.02328280114974219,0.061176388743792345,3.0382212842678804,3.2745850678668322,2.9227922651246,3.1280924233426592,-5.905473631899319,-2.169878839033819,3.8908773949250817,4.188069803672297,3.7628592128814016,4.030846666167812,-5.080766165559096,-2.0078477158329893
Chronological >2018,Random Forest | Full DOI,CatBoost | Full DOI,PCE,Publication-balanced,9116,1735,0.40449741961460384,0.4429190021708077,0.03842158255620387,3.1562973080879466,3.0247384261966004,-4.168139723537112,4.009157841634404,3.8776669352253297,-3.2797637709237604,0.36252226999738646,0.4402429495415341,0.4048370327153057,0.47722026207361395,0.022729396668807633,0.05586460932377615,3.070893711584744,3.2411364739291906,2.9421748092467803,3.109919714468741,-5.68299540776632,-2.6095369603852645,3.9045080908570724,4.1138813120649305,3.7663935672098954,3.996783643382664,-4.685802650841786,-1.9243666494375398
Chronological >2018,Random Forest | Full DOI,CatBoost | Full DOI,Voc,Device-level,9116,1735,0.4685586272649903,0.5072804533080428,0.03872182604305252,0.08403393701194543,0.07976340235015154,-5.081916679908538,0.12065195092729936,0.11617336363915169,-3.7119891172305297,0.39575522876694447,0.528010869281533,0.44506266727712607,0.5636994377823471,0.016949854277656808,0.06522298640219455,0.08016523033074094,0.0880128736323828,0.07633722285424178,0.08329484007356897,-7.544647518058132,-2.70036045007921,0.11428875215384784,0.12721931690122215,0.11010033901985401,0.12245186229828933,-5.902427208938772,-1.6961259680282432
