context,condition,candidate,iterations,encoded_features,train_records,test_records,train_DOI,test_DOI,recency_lambda,weight_min,weight_max,weight_effective_N,DOI_total_weight_CV,fit_seconds
outer_grouped_fold_1,CatBoost | Full DOI,depth6_lr0.10_l2-20,449,1059,26566,6609,5094,1274,0.0,0.04382483264212634,5.215155084413035,14798.135604885634,1.4918884579222993e-16,7.497974080997665
outer_grouped_fold_2,CatBoost | Full DOI,depth6_lr0.10_l2-20,445,1062,26370,6805,5094,1274,0.0,0.04350149953974523,5.176678445229682,14756.640751435822,1.2720335704227823e-17,8.154392934000498
outer_grouped_fold_3,CatBoost | Full DOI,depth8_lr0.04_l2-10,699,1069,26543,6632,5094,1274,0.0,0.04378689049235713,5.210639968590498,14826.847525339765,1.6821483486032628e-16,35.51714248799908
outer_grouped_fold_4,CatBoost | Full DOI,depth8_lr0.04_l2-10,700,1060,26615,6560,5095,1273,0.0,0.04389704851518625,5.223748773307165,14805.35430785869,1.389762587195374e-16,36.82277381899985
outer_grouped_fold_5,CatBoost | Full DOI,depth8_lr0.04_l2-10,686,1059,26606,6569,5095,1273,0.0,0.054395649329407915,5.22198233562316,14952.337226886497,6.975625155954889e-17,35.64965672099788
chronological_train_through_2018,CatBoost | Full DOI,depth6_lr0.10_l2-20,446,960,24059,9116,4633,1735,0.0,0.04363834892903848,5.19296352255558,13403.017473636039,9.498825493209171e-17,7.092676164000295
rolling_2016,Random Forest rolling selection,frozen RF config,120,384,4548,4971,939,974,0.0,0.09884592814761686,4.843450479233227,2514.576996665261,,1.4135989860005793
rolling_2016,CatBoost rolling selection,depth6_lr0.05_l2-10,347,384,4548,4971,939,974,0.0,0.09884592814761686,4.843450479233227,2514.576996665261,4.596619580727478e-17,2.3128445289985393
rolling_2016,Random Forest rolling selection,frozen RF config,120,384,4548,4971,939,974,0.025,0.09738657853285052,4.892744643787699,2514.6032657545156,,1.4360416060007992
rolling_2016,CatBoost rolling selection,depth6_lr0.05_l2-10,347,384,4548,4971,939,974,0.025,0.09738657853285052,4.892744643787699,2514.6032657545156,0.015602580164567548,2.2998131419990386
rolling_2016,Random Forest rolling selection,frozen RF config,120,384,4548,4971,939,974,0.05,0.0959254224499743,4.94133757743657,2513.3065934104943,,1.475613089001854
rolling_2016,CatBoost rolling selection,depth6_lr0.05_l2-10,347,384,4548,4971,939,974,0.05,0.0959254224499743,4.94133757743657,2513.3065934104943,0.030751200800706667,2.33350670100117
rolling_2016,Random Forest rolling selection,frozen RF config,120,384,4548,4971,939,974,0.1,0.09300325886672298,5.036440352302405,2507.2225817780254,,1.3930084540006646
rolling_2016,CatBoost rolling selection,depth6_lr0.05_l2-10,347,384,4548,4971,939,974,0.1,0.09300325886672298,5.036440352302405,2507.2225817780254,0.05983247151773747,2.2748191989994666
rolling_2016,Random Forest rolling selection,frozen RF config,120,384,4548,4971,939,974,0.15,0.09008971105225547,5.128796249682347,2497.1621140986936,,1.344209729002614
rolling_2016,CatBoost rolling selection,depth6_lr0.05_l2-10,347,384,4548,4971,939,974,0.15,0.09008971105225547,5.128796249682347,2497.1621140986936,0.08748302939656927,2.266502741000295
