condition,records,DOI_groups,measured_PCE_mean,predicted_PCE_mean,mean_bias_predicted_minus_measured,MAE,RMSE
Random Forest | Full DOI,529,260,20.819451795841214,15.885782139707329,-4.93366965613388,4.93366965613388,5.350649206261653
CatBoost | Full DOI,529,260,20.819451795841214,16.20131945215536,-4.618132343685851,4.620264143863472,4.991590725712119
Random Forest | Full DOI + recency,529,260,20.819451795841214,15.885782139707329,-4.93366965613388,4.93366965613388,5.350649206261653
CatBoost | Full DOI + recency,529,260,20.819451795841214,16.288430132437444,-4.531021663403767,4.533042764005228,4.9144874105627485
