domain_type,domain,historical_records,historical_DOI,future_records,future_DOI,historical_record_share,future_record_share,historical_DOI_share,future_DOI_share,future_formula_unseen_device_fraction,future_formula_unseen_DOI_balanced_fraction,support_class,descriptive_eligible,inferential_eligible
A x B domain,Other/unknown / Pb (no Sn),52,25,56,14,0.0021613533397065545,0.00614304519526108,0.005396071659831643,0.008069164265129682,0.6785714285714286,0.5833333333333334,limited (10-99 historical DOI),True,False
A x B domain,Other/unknown / Sn (no Pb),3,1,14,4,0.00012469346190614738,0.00153576129881527,0.0002158428663932657,0.0023054755043227667,1.0,1.0,sparse (<10 historical DOI),False,False
FA presence,FA absent,19761,3947,5712,1124,0.8213558335757929,0.6265906099166301,0.8519317936542198,0.6478386167146974,0.04551820728291316,0.04633922020226186,established (>=100 historical DOI),True,True
FA presence,FA present,4298,824,3404,685,0.17864416642420716,0.3734093900833699,0.17785452190805093,0.39481268011527376,0.07638072855464159,0.07163614163614164,established (>=100 historical DOI),True,True
MA presence,MA absent,2061,453,1593,320,0.08566440832952325,0.1747476963580518,0.09777681847614936,0.1844380403458213,0.1293157564344005,0.11634650735294119,established (>=100 historical DOI),True,True
MA presence,MA present,21998,4287,7523,1460,0.9143355916704767,0.8252523036419482,0.9253183682279301,0.8414985590778098,0.04173866808454074,0.04159573683546286,established (>=100 historical DOI),True,True
Cs presence,Cs absent,21483,4232,6220,1211,0.8929298807099214,0.6823168056164984,0.9134470105763004,0.6979827089337176,0.05369774919614148,0.04988358279027148,established (>=100 historical DOI),True,True
Cs presence,Cs present,2576,520,2896,587,0.10707011929007856,0.3176831943835015,0.11223829052449817,0.338328530259366,0.06422651933701658,0.06719540522276268,established (>=100 historical DOI),True,True
Pb presence,Pb absent,623,145,250,55,0.02589467558917661,0.027424308907415533,0.03129721562702353,0.03170028818443804,0.244,0.26793388429752063,established (>=100 historical DOI),True,True
Pb presence,Pb present,23436,4505,8866,1680,0.9741053244108234,0.9725756910925845,0.9723721131016619,0.968299711815562,0.05177080983532596,0.04716889222666533,established (>=100 historical DOI),True,True
Sn presence,Sn absent,23396,4534,8863,1685,0.9724427449187414,0.9722465993856955,0.9786315562270667,0.9711815561959655,0.05043439016134492,0.04539687770967226,established (>=100 historical DOI),True,True
Sn presence,Sn present,663,127,253,55,0.027557255081258572,0.027753400614304518,0.027412044031944745,0.03170028818443804,0.2885375494071146,0.3270247933884297,established (>=100 historical DOI),True,True
