comparison_type,target,unit,domain_type,domain,comparison,metric,estimate,CI_low,CI_high,CI_excludes_zero,domain_DOI,reference_DOI,inferential_eligible
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+MA,chronological - DOI-grouped,R2,-0.1192585484183023,-0.1880001911826462,-0.06016819322807205,True,255,255,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+MA,chronological - DOI-grouped,mean_feature_OOD_percentile,0.059284149563402444,0.04294137547944132,0.07411198727906766,True,255,255,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+MA,chronological - DOI-grouped,high_feature_OOD_fraction,0.036888492770845716,0.015750030620720275,0.059155783874365035,True,255,255,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+MA,chronological - DOI-grouped,coverage_90,0.0005185664009192958,-0.019455757985482953,0.01852253248054034,False,255,255,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+MA,chronological - DOI-grouped,interval_90_mean_width,0.8102281355046124,0.505794582786994,1.1244960326461164,True,255,255,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+Cs,chronological - DOI-grouped,MAE,0.41796018922339995,0.17000631568271107,0.6795976009409449,True,72,72,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+Cs,chronological - DOI-grouped,bias,-0.8280484296095055,-1.0943193273903327,-0.6237263848801298,True,72,72,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+Cs,chronological - DOI-grouped,RMSE,0.3697436172137758,0.09640291582624108,0.6497631945841663,True,72,72,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+Cs,chronological - DOI-grouped,R2,-0.1586297599238904,-0.3295085815862285,-0.03625003498137639,True,72,72,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+Cs,chronological - DOI-grouped,mean_feature_OOD_percentile,0.06122274590344401,0.03884252905968661,0.0833647485439586,True,72,72,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+Cs,chronological - DOI-grouped,high_feature_OOD_fraction,0.07407407407407404,0.02487310071265295,0.13336538461538458,True,72,72,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+Cs,chronological - DOI-grouped,coverage_90,0.00526269640852961,-0.019883461047254174,0.033177574133664345,False,72,72,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+Cs,chronological - DOI-grouped,interval_90_mean_width,0.8281626587422437,0.3084899140293669,1.374572198635383,True,72,72,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,MA+Cs,chronological - DOI-grouped,MAE,0.13320183864916624,-0.5755274950200626,0.9566235645368327,False,15,15,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,MA+Cs,chronological - DOI-grouped,bias,-0.3095663300596905,-1.124008687379963,0.43919582586897005,False,15,15,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,MA+Cs,chronological - DOI-grouped,RMSE,0.2528074916380594,-0.47892895010549974,1.1145479405634868,False,15,15,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,MA+Cs,chronological - DOI-grouped,R2,-0.1993194645931975,-1.120815465577026,0.41541400048329663,False,15,15,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,MA+Cs,chronological - DOI-grouped,mean_feature_OOD_percentile,0.06808611892701888,0.03836121129011563,0.1013365684410013,True,15,15,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,MA+Cs,chronological - DOI-grouped,high_feature_OOD_fraction,0.0,-0.2,0.2,False,15,15,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,MA+Cs,chronological - DOI-grouped,coverage_90,0.0,0.0,0.0,False,15,15,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,MA+Cs,chronological - DOI-grouped,interval_90_mean_width,0.7500048271846396,-0.17247945352229951,1.7784513500244368,False,15,15,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+MA+Cs,chronological - DOI-grouped,MAE,0.08957106063805442,-0.016809987898397927,0.2041407221698147,False,342,342,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+MA+Cs,chronological - DOI-grouped,bias,-0.28947002241772773,-0.4159392701845156,-0.16369340492958098,True,342,342,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+MA+Cs,chronological - DOI-grouped,RMSE,-0.008904977496162925,-0.14484398360045503,0.1388751726506508,False,342,342,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+MA+Cs,chronological - DOI-grouped,R2,0.004042203555493118,-0.0640374652727325,0.06502391071905758,False,342,342,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+MA+Cs,chronological - DOI-grouped,mean_feature_OOD_percentile,0.08690099758603759,0.07351169433258956,0.10159152341718898,True,342,342,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+MA+Cs,chronological - DOI-grouped,high_feature_OOD_fraction,0.05917018854325355,0.0353406950448773,0.0844048198943035,True,342,342,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+MA+Cs,chronological - DOI-grouped,coverage_90,0.009096613263279929,-0.009663644840388317,0.02794523189022443,False,342,342,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+MA+Cs,chronological - DOI-grouped,interval_90_mean_width,0.6002789452812749,0.3421396224123753,0.8628128026396005,True,342,342,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,Other/unknown,chronological - DOI-grouped,MAE,0.27586243549894496,-0.18015781625932295,0.7662319190323496,False,25,25,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,Other/unknown,chronological - DOI-grouped,bias,0.34643031061049706,-0.14438118501970237,0.8576355608337893,False,25,25,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,Other/unknown,chronological - DOI-grouped,RMSE,0.4961712426540066,-0.03288707171197702,1.073338773704221,False,25,25,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,Other/unknown,chronological - DOI-grouped,R2,-0.133540888399015,-1.293663993111286,0.008641321685106713,False,25,25,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,Other/unknown,chronological - DOI-grouped,mean_feature_OOD_percentile,0.01711543368520596,-0.016109926205388383,0.054069751482533096,False,25,25,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,Other/unknown,chronological - DOI-grouped,high_feature_OOD_fraction,0.053333333333333344,-0.08342391304347829,0.2020421607378131,False,25,25,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,Other/unknown,chronological - DOI-grouped,coverage_90,-0.002619047619047743,-0.03741709183673474,0.02513302669552679,False,25,25,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,Other/unknown,chronological - DOI-grouped,interval_90_mean_width,1.0514688108092418,-0.17463464373638507,2.236174938837841,False,25,25,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Pb (no Sn),chronological - DOI-grouped,MAE,0.23178776976362991,0.18364980954609222,0.28053000075206425,True,1660,1660,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Pb (no Sn),chronological - DOI-grouped,bias,-0.4779738937944161,-0.5400063143450993,-0.42528011699661206,True,1660,1660,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Pb (no Sn),chronological - DOI-grouped,RMSE,0.18840055988610294,0.13409964409366953,0.2404245949112754,True,1660,1660,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Pb (no Sn),chronological - DOI-grouped,R2,-0.06230434224652459,-0.07988818832641817,-0.04401993589025549,True,1660,1660,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Pb (no Sn),chronological - DOI-grouped,mean_feature_OOD_percentile,0.041338449034659996,0.036234377231108596,0.04683008274183731,True,1660,1660,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Pb (no Sn),chronological - DOI-grouped,high_feature_OOD_fraction,0.053675970068337284,0.043215464575992374,0.0647208508900687,True,1660,1660,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Pb (no Sn),chronological - DOI-grouped,coverage_90,0.004350312716567939,-0.002249791570912424,0.01132102333829093,False,1660,1660,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Pb (no Sn),chronological - DOI-grouped,interval_90_mean_width,0.8432772711945571,0.7350854319604488,0.9563949254031936,True,1660,1660,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Sn (no Pb),chronological - DOI-grouped,MAE,0.2657421878765003,0.09600901870839408,0.4345261490925934,True,30,30,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Sn (no Pb),chronological - DOI-grouped,bias,-0.41140502321866446,-0.6438266021842077,-0.19169609733073395,True,30,30,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Sn (no Pb),chronological - DOI-grouped,RMSE,0.298055363495751,0.12724603029320156,0.45275199650751285,True,30,30,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Sn (no Pb),chronological - DOI-grouped,R2,-0.17555306789860214,-0.3138241085278754,-0.07702391652818529,True,30,30,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Sn (no Pb),chronological - DOI-grouped,mean_feature_OOD_percentile,0.007641198511704084,-0.002807832899946344,0.01977809672368737,False,30,30,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Sn (no Pb),chronological - DOI-grouped,high_feature_OOD_fraction,0.09111111111111103,-0.016064814814814816,0.2083522727272727,False,30,30,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Sn (no Pb),chronological - DOI-grouped,coverage_90,-0.03724747474747481,-0.11404879385964914,0.014393939393939292,False,30,30,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Sn (no Pb),chronological - DOI-grouped,interval_90_mean_width,0.19076566250088867,-0.3264784265462806,0.7051745571248901,False,30,30,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Pb+Sn,chronological - DOI-grouped,MAE,0.36233156753008844,-0.20629858725543862,0.897287579391,False,25,25,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Pb+Sn,chronological - DOI-grouped,bias,-1.263440899242151,-1.8182285254976602,-0.6137252884175011,True,25,25,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Pb+Sn,chronological - DOI-grouped,RMSE,-0.025783738059070416,-0.8262446505185572,0.9272585848376947,False,25,25,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,B-site pattern,Pb+Sn,chronological - DOI-grouped,R2,0.012000976249507689,-0.5015958053081423,0.39708301606642277,False,25,25,True
