scheme,target,unit,domain_type,domain,records,DOI,descriptive_eligible,inferential_eligible,mean_measured,mean_measured_CI_low,mean_measured_CI_high,mean_predicted,mean_predicted_CI_low,mean_predicted_CI_high,MAE,MAE_CI_low,MAE_CI_high,bias,bias_CI_low,bias_CI_high,RMSE,RMSE_CI_low,RMSE_CI_high,R2,R2_CI_low,R2_CI_high,target_SD,target_SD_CI_low,target_SD_CI_high,MAE_over_target_SD,MAE_over_target_SD_CI_low,MAE_over_target_SD_CI_high,mean_feature_OOD_percentile,mean_feature_OOD_percentile_CI_low,mean_feature_OOD_percentile_CI_high,high_feature_OOD_fraction,high_feature_OOD_fraction_CI_low,high_feature_OOD_fraction_CI_high,mean_model_OOD_percentile,mean_model_OOD_percentile_CI_low,mean_model_OOD_percentile_CI_high,high_model_OOD_fraction,high_model_OOD_fraction_CI_low,high_model_OOD_fraction_CI_high,formula_unseen_fraction,formula_unseen_fraction_CI_low,formula_unseen_fraction_CI_high,coverage_90,coverage_90_CI_low,coverage_90_CI_high,coverage_95,coverage_95_CI_low,coverage_95_CI_high,interval_90_mean_width,interval_90_mean_width_CI_low,interval_90_mean_width_CI_high,interval_95_mean_width,interval_95_mean_width_CI_low,interval_95_mean_width_CI_high
DOI-grouped 5-fold,PCE,percentage point,A-site pattern,MA (no FA/Cs),4713,928,True,True,12.87309432521633,12.592742990921646,13.165808347649676,12.35951934128265,12.164565764382294,12.551971590959523,3.1049275645202554,2.983074985481496,3.2379884837908826,-0.5135749839336772,-0.7408057326870169,-0.29878178191590826,3.9759453485297818,3.827248079245603,4.152638500100086,0.3434957550138621,0.2842821942455916,0.3930432225084066,4.907063034937231,4.729874898010232,5.072521236142851,0.6327466230643137,0.6074937033625801,0.6618607245478955,0.5323243325151172,0.5143828658344839,0.5507903913806916,0.06199927840077434,0.04820897245414075,0.07731997377136025,0.3563104927768789,0.34457978522658145,0.36819039234783096,0.0,0.0,0.0,0.032132050181619146,0.022126798650050433,0.0427476591627108,0.8995349097921428,0.883905719736124,0.913695608478335,0.9476028860012038,0.9357888736149796,0.9585674335741908,12.510540507865446,12.297809208167813,12.719886056591822,15.764798947887451,15.498533247993874,16.03199847104933
DOI-grouped 5-fold,PCE,percentage point,A-site pattern,FA (no MA/Cs),301,62,True,True,10.524716396103894,9.176847805334628,11.854195803964028,9.762773133553166,8.689252653225479,10.77711579281896,3.2041040198995905,2.6498885212704675,3.7843260253128643,-0.7619432625507294,-1.6561408814204852,0.14667230935527234,4.120941367420101,3.4386702000379588,4.78900420585812,0.4464929718937246,0.24940976449544694,0.6025198686400112,5.539044645184581,4.820992883527857,6.093664100346197,0.5784578794982466,0.4928174483210645,0.6765724950916071,0.8083778529962224,0.7699358504589421,0.8494597797562695,0.3420332355816227,0.24187613071008593,0.4627602294127718,0.4456144397057887,0.3955108019016555,0.4968082786854929,0.0,0.0,0.0,0.14408602150537636,0.0703125,0.2264667277167277,0.904423264907136,0.8431780303030303,0.9581664862914864,0.9296798631476051,0.8778246766911539,0.9730613471673254,13.651456514288396,12.60800318039578,14.761177155908408,17.183865576440315,15.885971444442509,18.560651878566627
DOI-grouped 5-fold,PCE,percentage point,A-site pattern,Cs (no FA/MA),862,174,True,True,9.187875310193178,8.563610658381574,9.774560764666957,8.685784818863638,8.162573424014191,9.169052927399463,2.127235785014022,1.9185299805334273,2.339563500725961,-0.5020904913295375,-0.8180157175414717,-0.1546230522426295,2.8034988937541683,2.5529795872267558,3.061794539714019,0.5879555198739912,0.48751066536565396,0.6660081953156837,4.367453992802757,3.987449997851478,4.703535181575337,0.4870654135154143,0.4350898205950063,0.5481902581263737,0.8661713141934045,0.8470322968626591,0.8834010868837253,0.3157773436138286,0.24790165414954007,0.3806581645860187,0.40031219564523535,0.3739574682262538,0.4262567666880518,0.0,0.0,0.0,0.04490928555330178,0.01858670238537899,0.07305459574805045,0.9462843463350563,0.9248841540159837,0.9642980280244063,0.9798609253604182,0.9671821820204173,0.9908071225649352,10.655407847288194,10.111545962329977,11.235736000586977,13.413932676085812,12.732537914338163,14.117522950837653
DOI-grouped 5-fold,PCE,percentage point,A-site pattern,FA+MA,1107,255,True,True,16.216310927634456,15.74855172097753,16.656694961493784,15.567799278723296,15.21988833023534,15.882282310493231,2.6958824767640848,2.509656896228728,2.909751730589866,-0.6485116489111612,-0.9885096237681188,-0.2896629569866399,3.4503632074759985,3.192180520837754,3.7137572106507366,0.3261877692031987,0.1879752230699746,0.4496506997273943,4.203348212424856,3.782448292493109,4.5957612587768875,0.6413654878259221,0.5790309976070508,0.7082317011849715,0.607006516322511,0.5748767400587338,0.6379924719920196,0.08139420492361668,0.05297095074747459,0.11404453140838018,0.42637307469418934,0.4052506037832344,0.44639326905785254,0.0,0.0,0.0,0.05158730158730159,0.029663154514061003,0.07721770783785213,0.9279009443715326,0.9068525109911804,0.9482043636448616,0.9685131426307897,0.9538156349676711,0.9815261629758835,11.913288910251099,11.453560907874875,12.370068085424535,15.01851783019051,14.44139631563004,15.601886876941675
DOI-grouped 5-fold,PCE,percentage point,A-site pattern,FA+Cs,331,72,True,True,14.822288858767413,13.91043688729299,15.627748409923743,14.403206929285005,13.88896691920912,14.868207655056706,2.8554098617135697,2.4288375812555065,3.2816978385700204,-0.4190819294824052,-1.1088724845641686,0.31729287753307517,3.6227326016072547,3.0847322498412924,4.120584048107136,0.2606080409097411,0.04943062944764199,0.4223779606643034,4.213072355202439,3.5791942802152694,4.774118837112038,0.6777500173211163,0.5970900781872429,0.7868581217860291,0.7431261763459608,0.6929831252158603,0.7889790343675583,0.14814814814814817,0.07870370370370369,0.22414790868454662,0.5075398645805165,0.47430302635707494,0.5390738764279313,0.0,0.0,0.0,0.10509259259259258,0.045659436834094375,0.1769256756756757,0.920586069023569,0.8729992446789322,0.9646744056948798,0.9600799663299663,0.9269069617026098,0.990910049865746,13.466770866395622,12.71605820886908,14.362104142544405,16.943285277252734,15.980728347106545,18.045553588382933
DOI-grouped 5-fold,PCE,percentage point,A-site pattern,MA+Cs,38,15,True,False,13.412333333333333,12.05839848856209,14.762960937499999,11.430120747728994,10.290276646896402,12.61039543125941,3.1107247654901937,2.0673598071793653,4.303702206622475,-1.9822125856043393,-3.6450866431508495,-0.5737301288801168,3.9157097698061745,2.7413595863235667,5.030102859770205,-0.4953479519699888,-2.5515767402076666,0.2404855358081184,3.202132987036407,2.2689430093931,3.8770863593745406,0.9714539583720374,0.6603104517836407,1.5671927735429507,0.6375442527056804,0.5493465030957216,0.7311902121481796,0.06666666666666667,0.0,0.2222222222222222,0.44981681262597195,0.3623044124423491,0.5350638213071143,0.0,0.0,0.0,0.2,0.0,0.42857142857142855,0.9888888888888889,0.9642857142857143,1.0,1.0,1.0,1.0,14.759351996923117,13.275091095964806,16.521868678259885,18.579109313042704,16.701790467957164,20.823976748848587
DOI-grouped 5-fold,PCE,percentage point,A-site pattern,FA+MA+Cs,1665,342,True,True,16.199438759130693,15.796418929775122,16.574056832281087,15.855812490513713,15.640418581336212,16.064498882112083,2.929077758876944,2.706928027475055,3.160142959416229,-0.3436262686169798,-0.6872909611292445,0.02956202014423745,3.9827423894482417,3.6481919204266307,4.334901443992186,0.09505254431100996,-0.0012123383192717324,0.1905355373203852,4.186687393684047,3.8625285491737937,4.519436273789651,0.699617020199715,0.6598378208443407,0.7410250497464753,0.4735918816298908,0.4439289826561472,0.5071159582936612,0.04692839123953675,0.02708789272487627,0.06833706855295257,0.3827680732978091,0.3651319311296286,0.40289974603650214,0.0,0.0,0.0,0.0663630229419703,0.04288549542379626,0.0914096144010358,0.89261876443894,0.8673608832484836,0.9189814926362194,0.9335368862781144,0.9133163959435525,0.953339370512032,11.083631503383863,10.70446643929984,11.452944083654891,13.953113544513089,13.48410065533739,14.411180792598897
DOI-grouped 5-fold,PCE,percentage point,A-site pattern,Other/unknown,99,25,True,True,3.5105000529100527,1.4504131523569024,5.894630335097,3.863001779592712,2.7927889836986473,4.900326081104629,3.1053708841970296,1.9021689776444317,4.451362543092472,0.35250172668265906,-1.4595517861403526,1.8857252737640857,4.554117190228903,2.6658036199789796,6.3684987488850835,0.41880672256526774,-1.0170443029297784,0.5291018600193562,5.9737069108839655,1.9375536650029888,8.461041439337263,0.519839846601632,0.4126582421805383,1.1222253215552442,0.9549005901943617,0.9159695660249877,0.9860512694096585,0.8133333333333332,0.6666666666666666,0.9479366987179486,0.45995918741590686,0.3555251227932583,0.5568417237280271,0.0,0.0,0.0,0.6133333333333333,0.4332954545454545,0.7803606719367587,0.9492857142857143,0.863189052795031,1.0,0.995,0.9836956521739131,1.0,14.09682242738395,11.374227706613253,16.67871499230302,17.768591696455754,14.351939861006088,21.006487664941144
DOI-grouped 5-fold,PCE,percentage point,B-site pattern,Pb (no Sn),8768,1660,True,True,13.794119849836822,13.583307436376133,14.001577534717299,13.308768665602434,13.15067081366145,13.456191498765605,2.968100766815265,2.880224254803668,3.0650806214264614,-0.48535118423438794,-0.6288354939009141,-0.3376704216135175,3.8479053378228154,3.73299443376205,3.973998608552597,0.3789499032276884,0.34023881849102766,0.418135202136883,4.882711480107103,4.751236972845942,5.005681991584151,0.6078796133885345,0.5892830220725842,0.6268893627366614,0.5675316805644495,0.5537503559388025,0.5812956782793505,0.0880032479790069,0.07618031740672762,0.0992824407236999,0.3829629683434842,0.37472490229409544,0.39212307825096016,0.0,0.0,0.0,0.042767312614938414,0.03435374828577282,0.051179739846937765,0.9049244062361749,0.8936118084487057,0.9147492572653391,0.9492187492567317,0.9410123974203342,0.9568629119765958,12.127552108240234,11.965053850086061,12.29844078518814,15.276721291345494,15.074182016412621,15.495895577465538
DOI-grouped 5-fold,PCE,percentage point,B-site pattern,Sn (no Pb),155,30,True,True,4.575627876780375,3.7269343673050774,5.483914602178352,3.9896864688496687,3.4074569149937193,4.594069047975807,1.7190140589328882,1.362604936777097,2.1077338765328006,-0.5859414079307063,-1.2221586111236997,0.0677667726577482,2.1589067148841883,1.7426563915049755,2.5851076913563986,0.40526187286884174,0.10962819093077282,0.5790351053131586,2.7994388585490806,2.4103643392386283,3.1187003228535404,0.6140566541338341,0.5117922609833508,0.7577623585605001,0.9210329895578248,0.8876787570704235,0.9508616731449249,0.5308080808080808,0.36361408199643497,0.7109848484848484,0.43162928784065735,0.35948852034193446,0.4990097850748947,0.0,0.0,0.0,0.30787878787878786,0.1611996753246753,0.4714972882231405,0.9539141414141414,0.9004513888888891,0.9925668672262109,0.9625,0.9090909090909091,1.0,8.754019007782938,7.969791494687613,9.600596234019763,11.035434839196991,10.04709208688548,12.078731351022002
