scheme,domain_type,domain,records,DOI,descriptive_eligible,inferential_eligible,mean_measured,mean_measured_CI_low,mean_measured_CI_high,mean_predicted,mean_predicted_CI_low,mean_predicted_CI_high,MAE,MAE_CI_low,MAE_CI_high,bias,bias_CI_low,bias_CI_high,RMSE,RMSE_CI_low,RMSE_CI_high
DOI-grouped 5-fold,A-site pattern,MA (no FA/Cs),115,74,True,True,20.45457754182754,20.36947659043442,20.535763854679807,15.104073826689268,14.631993697295734,15.539727622908455,5.350503715138276,4.895647547006634,5.851279577013012,-5.350503715138276,-5.851279577013012,-4.895647547006634,5.737291358865166,5.2027656769213175,6.35096793256284
DOI-grouped 5-fold,A-site pattern,FA (no MA/Cs),39,8,True,False,20.757427631578945,20.279958333333333,21.27035803571428,13.42112236814862,12.11518725417915,14.79161680144534,7.3363052634303285,5.857040887560011,8.794369648532216,-7.3363052634303285,-8.794369648532216,-5.857040887560011,7.594948794655629,5.897745793192133,8.980923336792966
DOI-grouped 5-fold,A-site pattern,FA+MA,187,81,True,True,20.810071160187103,20.69472056097158,20.9391070766732,17.002941841539073,16.695550574280826,17.30307715091546,3.8071293186480313,3.5280290252078648,4.110853246348602,-3.8071293186480313,-4.110853246348602,-3.5280290252078648,4.051977829449193,3.7544308152455823,4.381847905613214
DOI-grouped 5-fold,A-site pattern,FA+Cs,17,8,True,False,20.714916666666667,20.443270833333333,20.991684999999997,16.71223979761474,15.712980731228395,17.67636787521732,4.0026768690519265,3.047806826049411,5.075486903030903,-4.0026768690519265,-5.075486903030904,-3.047806826049411,4.280848079140867,3.2499141622059593,5.290618561126653
DOI-grouped 5-fold,A-site pattern,MA+Cs,1,1,False,False,20.46,,,15.20115996133006,,,5.258840038669941,,,-5.258840038669941,,,5.258840038669941,,
DOI-grouped 5-fold,A-site pattern,FA+MA+Cs,169,95,True,True,20.648280701754388,20.554834533734347,20.75239534980106,16.890302704180883,16.543114745133625,17.232188373016054,3.757977997573503,3.396977112366097,4.123948031953711,-3.757977997573503,-4.123948031953711,-3.396977112366097,4.21710633427237,3.7203116213662097,4.6933286396445855
DOI-grouped 5-fold,A-site pattern,Other/unknown,1,1,False,False,24.82,,,9.89978299401146,,,14.92021700598854,,,-14.92021700598854,,,14.92021700598854,,
DOI-grouped 5-fold,B-site pattern,Pb (no Sn),526,258,True,True,20.635628602842175,20.579931785655663,20.69753236397681,16.351957089440752,16.122333408637015,16.586752788927626,4.2836715134014245,4.050385261017055,4.509481615595471,-4.2836715134014245,-4.509481615595471,-4.050385261017055,4.712415629009814,4.434818589178405,4.991128488061709
DOI-grouped 5-fold,B-site pattern,Pb+Sn,2,2,False,False,20.950000000000003,,,12.06601178904098,,,8.883988210959021,,,-8.883988210959021,,,9.274487345430416,,
DOI-grouped 5-fold,B-site pattern,Other/unknown,1,1,False,False,24.82,,,9.89978299401146,,,14.92021700598854,,,-14.92021700598854,,,14.92021700598854,,
DOI-grouped 5-fold,A x B domain,FA (no MA/Cs) / Pb (no Sn),39,8,True,False,20.757427631578945,20.279958333333333,21.27035803571428,13.42112236814862,12.11518725417915,14.79161680144534,7.3363052634303285,5.857040887560011,8.794369648532216,-7.3363052634303285,-8.794369648532216,-5.857040887560011,7.594948794655629,5.897745793192133,8.980923336792966
DOI-grouped 5-fold,A x B domain,FA+Cs / Pb (no Sn),17,8,True,False,20.714916666666667,20.443270833333333,20.991684999999997,16.71223979761474,15.712980731228395,17.67636787521732,4.0026768690519265,3.047806826049411,5.075486903030903,-4.0026768690519265,-5.075486903030904,-3.047806826049411,4.280848079140867,3.2499141622059593,5.290618561126653
DOI-grouped 5-fold,A x B domain,FA+MA / Pb (no Sn),186,80,True,True,20.80644704968944,20.686705296210032,20.9368022544014,17.029492610147763,16.712729633747,17.32692455887723,3.7769544395416816,3.5025003948592306,4.081542927405825,-3.7769544395416816,-4.081542927405825,-3.5025003948592306,4.0174589934029505,3.7248633304062495,4.346272726104444
