target,unit,evaluation,comparison,Amber_records,Amber_DOI,Red_records,Red_DOI,inferential_eligible,delta_MAE,delta_MAE_CI_low,delta_MAE_CI_high,delta_RMSE,delta_RMSE_CI_low,delta_RMSE_CI_high,delta_absolute_bias,delta_absolute_bias_CI_low,delta_absolute_bias_CI_high,delta_large_error_fraction,delta_large_error_fraction_CI_low,delta_large_error_fraction_CI_high,delta_coverage_95,delta_coverage_95_CI_low,delta_coverage_95_CI_high,delta_mean_interval_95_half_width,delta_mean_interval_95_half_width_CI_low,delta_mean_interval_95_half_width_CI_high,MAE_ratio_Red_over_Amber,MAE_ratio_CI_low,MAE_ratio_CI_high,MAE_change_percent,MAE_change_percent_CI_low,MAE_change_percent_CI_high
PCE,percentage point,Publication-balanced,Red minus Amber,52,13,46,16,False,0.678816944538355,-0.746342085137626,2.1028448192832685,0.6645833944882504,-0.9364483934854548,2.2787666143865395,0.4618503272754797,-1.6626270499594544,2.634077473644026,0.1003033424908425,-0.17398400297619046,0.3730332613158901,0.07272970085470087,-0.03888888888888887,0.25142361111111095,2.9957630318571127,1.8328008985600923,4.107772269671011,1.206505085085818,0.8089686396289945,1.8527578692134945,20.65050850858181,-19.103136037100555,85.27578692134945
PCE,percentage point,Device-level,Red minus Amber,52,13,46,16,False,1.159817532683571,-0.7039340747293402,2.8671946170648854,1.3501464272668522,-0.9163546128364206,3.192294608778347,0.29416730214135867,-2.266019552210049,3.020466520254306,0.1705685618729097,-0.10172026061370323,0.3915670919530603,0.030936454849498363,-0.07003055767761647,0.16082720588235289,2.6182659455896413,1.0601495120512203,3.896794426923529,1.358051845539611,0.8125531230070058,2.0262743086339423,35.80518455396109,-18.744687699299423,102.62743086339424
Voc,V,Publication-balanced,Red minus Amber,26,8,72,21,False,0.045616030314224516,-0.014864214386309926,0.10120033669696256,0.043395507528765864,-0.03592305152817342,0.1297806389027024,0.016839577883593256,-0.0538241281896743,0.06512753244327885,0.19543650793650788,-0.048041125541125516,0.45843253968253955,0.04166666666666663,0.0,0.1333333333333332,0.2121655855118099,0.14377869821223208,0.2838211294886554,1.74750587985717,0.8683197647333569,4.3943788052078645,74.750587985717,-13.168023526664307,339.43788052078645
Voc,V,Device-level,Red minus Amber,26,8,72,21,False,0.008538903665711375,-0.07387075367382909,0.10025417462267243,-0.005483029883075863,-0.09960962619229528,0.13613121952967563,-0.041487785725775536,-0.13200529335966404,0.053427155354039274,0.09188034188034189,-0.24728831796223105,0.4738095238095237,0.11538461538461542,0.0,0.25,0.18439456528189602,0.11849521734763994,0.2565160504773815,1.0851945941273828,0.5179554017677248,3.7182070559369698,8.519459412738284,-48.204459823227516,271.82070559369697
Jsc,mA cm^-2,Publication-balanced,Red minus Amber,7,5,91,24,False,2.576657926379211,0.6793325035352809,4.389233142129483,3.1299205693866665,1.2358131236275551,5.360820772008382,3.873082605208479,0.41873624061304743,4.654136891480902,0.43705357142857143,-0.022857142857142798,0.7705605158730158,-0.02083333333333337,-0.0625,0.0,3.8588897262933086,2.609071534755187,5.115747666994502,2.0105513621319666,1.1798748974218618,4.100942238004422,101.05513621319666,17.98748974218618,310.09422380044225
Jsc,mA cm^-2,Device-level,Red minus Amber,7,5,91,24,False,2.989464985480049,0.6164272578536343,4.964302265601311,3.855489367462349,1.101459951464585,6.562650581189133,2.778716991429196,-0.821763249493219,4.236137685189791,0.4835164835164835,-0.00849026235313053,0.7621527777777777,-0.04395604395604391,-0.13079710144927537,0.0,3.369401059792345,2.526839734124846,4.758150834607623,2.3502748247342082,1.1848873830630944,4.5481606048392615,135.02748247342083,18.488738306309436,354.81606048392615
FF,percentage point,Publication-balanced,Red minus Amber,53,13,45,15,False,2.891779346928666,0.42851766602499475,5.252782828051315,3.3277053931520344,0.7370797908922194,5.690521539919171,4.26261429901743,0.5301543093491567,8.121855861090811,0.256025641025641,0.015790497912127808,0.49708348595848595,-0.013333333333333308,-0.042857142857142816,0.0,7.960097862729354,4.251061987223292,11.702643344315849,1.5182932949275147,1.071547790941715,2.140357710159521,51.82932949275148,7.154779094171504,114.03577101595208
FF,percentage point,Device-level,Red minus Amber,53,13,45,15,False,1.721895333399364,-1.2019080464276484,4.857802475858217,2.09662498283954,-0.789959772159191,5.273268693400105,2.8911006076924193,-0.9972345579768395,7.657464976328326,0.14465408805031443,-0.08005767077267638,0.3745276162790698,-0.022222222222222254,-0.06820141065830726,0.0,5.873756617858158,1.9146422708298514,10.346390702560612,1.2864808730051756,0.8499099952757397,2.032094462181594,28.648087300517556,-15.009000472426026,103.20944621815941
